Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA
SP1,18/08/17,Leganes,Alaves,1,0,H,1,0,H,16,6,9,3,14,18,4,2,0,1,0,0,2.05,3.2,4.1,2.05,3.1,4.1,2.1,3.4,3.5,2.05,3,4.2,2.03,3.25,4.52,2.05,3.1,4,2.05,3.2,4.4,35,2.12,2.03,3.4,3.15,4.52,4.17,31,2.84,2.68,1.53,1.46,18,-0.5,2.07,2.03,1.9,1.86,1.98,3.35,4.63
SP1,18/08/17,Valencia,Las Palmas,1,0,H,1,0,H,22,5,6,4,25,13,5,2,3,3,0,1,1.75,3.8,4.5,1.75,3.9,4.6,1.75,3.6,4.8,1.75,3.8,4.33,1.78,4.01,4.83,1.8,3.75,4.2,1.8,4,4.6,35,1.83,1.77,4.04,3.86,4.83,4.46,33,1.69,1.64,2.4,2.27,16,-0.75,2.05,1.97,1.96,1.91,1.78,4.24,4.43
SP1,19/08/17,Celta,Sociedad,2,3,A,1,1,D,16,13,5,6,12,11,5,4,3,1,0,0,2.38,3.25,3.2,2.4,3.3,3,2.5,3.3,2.85,2.35,3.25,3,2.44,3.4,3.16,2.4,3.4,2.9,2.4,3.4,3.13,35,2.5,2.39,3.5,3.32,3.2,3.01,34,2.03,1.98,1.9,1.84,18,-0.25,2.08,2.05,1.87,1.83,2.12,3.53,3.74
SP1,19/08/17,Girona,Ath Madrid,2,2,D,2,1,H,13,9,6,3,15,15,6,1,2,4,0,1,8,4.33,1.45,7.5,4.33,1.45,7.2,4.4,1.45,7.5,4,1.5,8.36,4.38,1.49,8,4.2,1.44,7.5,4.3,1.5,35,8.36,7.53,4.4,4.17,1.51,1.48,34,2.2,2.11,1.8,1.74,16,1.25,1.77,1.75,2.25,2.16,6.93,3.83,1.63
SP1,19/08/17,Sevilla,Espanol,1,1,D,1,1,D,9,9,4,6,14,12,7,3,2,4,1,0,1.62,4,5.5,1.62,3.9,5.75,1.55,4,6.2,1.6,3.9,5.5,1.62,4.17,6.18,1.67,3.6,5.5,1.65,4,5.75,35,1.69,1.63,4.17,3.93,6.2,5.58,33,1.81,1.75,2.14,2.09,16,-1,2.12,2.06,1.86,1.82,1.64,4.18,5.82
SP1,20/08/17,Ath Bilbao,Getafe,0,0,D,0,0,D,12,8,2,2,16,15,7,6,1,3,0,1,1.5,4,7.5,1.48,4.25,7,1.5,4.2,6.5,1.5,4,7,1.53,4.37,7.31,1.5,4,7,1.5,4.2,7,34,1.53,1.5,4.4,4.17,7.5,6.94,32,2.01,1.94,1.96,1.87,17,-1,1.9,1.86,2.05,2.01,1.53,4.48,6.91
SP1,20/08/17,Barcelona,Betis,2,0,H,2,0,H,15,3,2,0,16,15,8,0,2,1,0,0,1.17,8,15,1.18,7.5,14.5,1.17,7.5,15,1.2,6.5,15,1.22,7.35,15.5,1.22,6,13,1.2,7,13,35,1.22,1.19,8,7.11,17,13.85,27,1.44,1.4,3.1,2.88,17,-2,2.05,2,1.91,1.86,1.2,8.25,15.2
SP1,20/08/17,La Coruna,Real Madrid,0,3,A,0,2,A,12,16,6,8,16,12,4,4,5,1,0,1,9.5,5.75,1.3,9.25,5.75,1.3,7.5,5.5,1.35,9.5,5.25,1.3,10.26,5.79,1.33,11,4.5,1.33,9.5,5.75,1.3,35,11.45,9.68,5.86,5.44,1.35,1.31,27,1.5,1.46,2.95,2.64,16,1.5,2.03,1.98,1.95,1.89,12.4,7,1.26
SP1,21/08/17,Levante,Villarreal,1,0,H,0,0,D,14,9,3,1,18,14,11,6,1,3,0,0,3.25,3.25,2.3,3.25,3.2,2.3,3.3,3.35,2.2,3.25,3.1,2.3,3.36,3.24,2.36,3.1,3.1,2.4,3.25,3.25,2.3,34,3.5,3.26,3.35,3.17,2.4,2.31,32,2.42,2.36,1.63,1.58,15,0.25,1.93,1.89,2.03,1.98,3.31,3.32,2.4
SP1,21/08/17,Malaga,Eibar,0,1,A,0,0,D,10,13,4,6,16,15,3,7,2,3,0,0,2.1,3.3,3.7,2.15,3.3,3.5,2.1,3.4,3.5,2.1,3.1,3.4,2.24,3.36,3.49,2.2,3.3,3.3,2.15,3.3,3.5,34,2.28,2.18,3.4,3.26,3.7,3.43,32,2.25,2.14,1.76,1.7,17,-0.25,1.92,1.88,2.04,1.99,2.2,3.27,3.85
